-89.63046630767656, -228.9836078161337
-85.82822020399652, -233.91633857066097
-78.61978339267591, -232.77801608884693
-72.36005070462437, -231.639693607033
-64.39207908618056, -230.88081195249038
-52.82017481633039, -229.36304864340514
-44.29183910579911, -222.72283416615687
-52.27209815716475, -215.323738034366
-64.22777039013243, -213.9956951389164
-78.46204704446973, -211.52932976165278
-85.48388632793052, -210.5807276934745
-89.08153238574891, -215.51345844800164
-85.66476877071045, -216.46206051618003
-78.64121496172567, -218.54898506617235
-75.79338806639464, -219.68730754798628
-74.0822915934624, -221.96395251161425
-75.78652996429872, -224.2405974752421
-78.81952561621961, -226.13780161159877
-85.26842762041701, -227.65556492068413
