-97.91628809792599, -255.54446572512643
-99.82064588792124, -261.00841363783354
-102.54056917916338, -269.20433550689404
-105.80324267027666, -279.85903393667286
-108.24747025726276, -289.69414017954557
-104.15277181987241, -287.23536361882736
-98.6939968756034, -283.41060007993246
-95.42679703710678, -275.76107300214255
-90.25359346411193, -263.74038759418704
-86.71234386586235, -256.63725530766783
-84.26029804248691, -251.99289958186682
-83.7167248703642, -250.08051781241932
-88.08876495651361, -249.80732041678402
-90.81486053964204, -253.90528135131422
