-238.03537586860392, -209.36372643005387
-240.68856601389768, -217.32202519112496
-240.68856601389768, -224.75059661969652
-238.03537586860392, -232.7106652055641
-220.5243209096652, -232.18589338249507
-200.36007580543273, -231.13139422692637
-177.54264055590653, -231.66961671844984
-156.31711939355657, -232.20730826253424
-140.39797852179407, -232.74322998182214
-130.8464939987366, -232.74641566645602
-129.25457991156034, -211.52245681797666
-158.9703095388503, -211.51254579911557
-190.2779532533165, -211.50210383281552
-222.11623499684146, -210.43026039423984
