-258.1757840762528, -205.8726868138241
-256.45820881436975, -206.9299215478311
-254.7406335524867, -207.72292863956181
-252.36245242064865, -208.1197189466859
-249.5879077668376, -207.98812877654223
-246.9454842870175, -207.8565136706369
-244.30306080719745, -207.19644328017864
-243.11397024127842, -206.13975713292768
-243.90669728522445, -205.08269694925218
-245.49215137311649, -204.81817007783604
-247.07760546100852, -205.21421231211104
-249.05942307087355, -205.3459520968246
-251.4376042027116, -205.2133894319768
-253.02305829060367, -204.81674873942256
-255.00487590046868, -204.42003323958318
-256.19396646638774, -204.41980881772838
-257.38305703230674, -204.94803968042652
