-257.64729938028876, -218.9960927899332
-256.87659253200786, -217.0145309314695
-255.00487590046868, -214.70289231817412
-252.0321494856711, -213.3823151614289
-249.2796250275252, -213.38283465646305
-246.1967976344018, -214.59445985133505
-243.66447513290757, -216.24636055099415
-242.45336437132337, -218.44848614777936
-242.01296045802005, -221.09084568974902
-243.4442731762559, -224.06313652794108
-245.5361917644468, -225.93435417783974
-248.17861524426687, -227.14489882304042
-251.48164459404194, -227.474559981845
-254.23416905218784, -226.59328167922286
-255.88568372707536, -224.72135751607755
-257.09679448865955, -222.62932677024082
-257.7574003586146, -220.8676844762564
