-272.8412343892541, -216.571138456477
-271.91638617131713, -218.42090650274338
-271.3879014753531, -220.40271356286325
-272.0485073453081, -222.3842962011281
-272.70911321526313, -224.23376501825487
-272.5769920412721, -225.55492816539868
-271.5200226493441, -227.2726073262885
-270.06668973544305, -226.21597105056094
-269.4060838654881, -224.10227459115777
-268.74547799553307, -221.32800902606357
-268.87759916952405, -218.81782148867592
-269.27396269149705, -216.30758407976498
-270.33093208342507, -213.92933581318403
-271.12365912737107, -212.87227562950852
-272.0485073453081, -214.58958075397368
