-258.5721475982258, -234.93765265694572
-256.98669351033374, -233.8810413169797
-254.7406335524867, -232.9566684769602
-252.36245242064865, -232.69288967839327
-249.85215011481958, -232.8254772790027
-247.87033250495455, -232.82585131542737
-245.7563937210985, -233.22259175102818
-243.90669728522445, -233.751396136244
-242.9818490672874, -234.67636743454307
-244.03881845921543, -235.60096469641735
-245.8885148950895, -236.12907088030715
-247.20972663499953, -235.7324800592762
-249.05942307087355, -235.600017137475
-251.0412406807386, -235.86387074332674
-253.81578533454967, -236.12757473460874
-255.66548177042372, -236.25933945508393
-257.38305703230674, -235.86267382676795
